hospital,specialty,date,year,wait_type,total_waiting,0-6 Months,6-12 Months,12-18 Months,18+ Months,pct_over_12m
Children's Health Ireland,Dermatology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Diabetes Mellitus,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,826.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,542.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,554.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,318.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,291.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,1786.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,15.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,14.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,995.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,59.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,58.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Neurology,,2019,Outpatient,15.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Gynaecology,,2019,Outpatient,53.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Gynaecology,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Gynaecology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Gynaecology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,725.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,287.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,814.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,15.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,23.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,22.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,21.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,32.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,49.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,632.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,10.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,515.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,341.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,27.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neonatology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,125.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,57.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,66.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,20.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Small Volume Specialities,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,635.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,246.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,165.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,48.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,56.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,322.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,382.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,45.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Neurology,,2019,Outpatient,28.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Neurology,,2019,Outpatient,19.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Neurology,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Gynaecology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,443.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,379.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,222.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,226.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,291.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,318.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neonatology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neonatology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,135.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,75.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,25.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,236.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,173.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,94.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,96.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,62.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,142.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,91.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,86.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,61.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,16.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,679.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,477.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,262.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,333.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,291.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,263.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,361.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,223.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,123.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,37.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,43.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,16.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Neurology,,2019,Outpatient,49.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,41.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,7.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,381.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,20.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,1304.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,776.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,621.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,502.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,13.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,12.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,22.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,23.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,20.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,25.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,41.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neonatology,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,7.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,231.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Haematology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,59.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,142.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,145.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Developmental Paediatrics,,2019,Outpatient,86.0,0.0,0.0,0.0,0.0,0.0
