specialty,date,year,wait_type,total_waiting
Anaesthetics,2022-01-27,2022,Inpatient/Day Case,288.0
Breast Surgery,2022-01-27,2022,Inpatient/Day Case,169.0
Cardio-Thoracic Surgery,2022-01-27,2022,Inpatient/Day Case,376.0
Cardiology,2022-01-27,2022,Inpatient/Day Case,3523.0
Clinical Immunology,2022-01-27,2022,Inpatient/Day Case,150.0
Dental Surgery,2022-01-27,2022,Inpatient/Day Case,74.0
Dermatology,2022-01-27,2022,Inpatient/Day Case,1194.0
Endocrinology,2022-01-27,2022,Inpatient/Day Case,39.0
Gastro-Enterology,2022-01-27,2022,Inpatient/Day Case,518.0
Gastro-Intestinal Surgery,2022-01-27,2022,Inpatient/Day Case,476.0
General Medicine,2022-01-27,2022,Inpatient/Day Case,387.0
General Surgery,2022-01-27,2022,Inpatient/Day Case,12922.0
Gynaecology,2022-01-27,2022,Inpatient/Day Case,5568.0
Haematology,2022-01-27,2022,Inpatient/Day Case,22.0
Hepato-Biliary Surgery,2022-01-27,2022,Inpatient/Day Case,71.0
Maxillo-Facial,2022-01-27,2022,Inpatient/Day Case,724.0
Nephrology,2022-01-27,2022,Inpatient/Day Case,55.0
Neurology,2022-01-27,2022,Inpatient/Day Case,360.0
Neurosurgery,2022-01-27,2022,Inpatient/Day Case,518.0
Oncology,2022-01-27,2022,Inpatient/Day Case,48.0
Ophthalmology,2022-01-27,2022,Inpatient/Day Case,7841.0
Oral Surgery,2022-01-27,2022,Inpatient/Day Case,474.0
Orthopaedics,2022-01-27,2022,Inpatient/Day Case,10246.0
Otolaryngology (ENT),2022-01-27,2022,Inpatient/Day Case,3695.0
Pain Relief,2022-01-27,2022,Inpatient/Day Case,4951.0
Plastic Surgery,2022-01-27,2022,Inpatient/Day Case,4463.0
Radiology,2022-01-27,2022,Inpatient/Day Case,43.0
Respiratory Medicine,2022-01-27,2022,Inpatient/Day Case,547.0
Rheumatology,2022-01-27,2022,Inpatient/Day Case,309.0
Small Volume Specialties,2022-01-27,2022,Inpatient/Day Case,33.0
Urology,2022-01-27,2022,Inpatient/Day Case,8240.0
Vascular Surgery,2022-01-27,2022,Inpatient/Day Case,1449.0
Cardio-Thoracic Surgery,2022-01-27,2022,Inpatient/Day Case,73.0
Clinical Immunology,2022-01-27,2022,Inpatient/Day Case,224.0
Dental Surgery,2022-01-27,2022,Inpatient/Day Case,269.0
General Surgery,2022-01-27,2022,Inpatient/Day Case,296.0
Immunology,2022-01-27,2022,Inpatient/Day Case,110.0
Maxillo-Facial,2022-01-27,2022,Inpatient/Day Case,103.0
Ophthalmology,2022-01-27,2022,Inpatient/Day Case,654.0
Oral Surgery,2022-01-27,2022,Inpatient/Day Case,28.0
Orthopaedics,2022-01-27,2022,Inpatient/Day Case,381.0
Otolaryngology (ENT),2022-01-27,2022,Inpatient/Day Case,574.0
Paed Cardiology,2022-01-27,2022,Inpatient/Day Case,198.0
Paed Endocrinology,2022-01-27,2022,Inpatient/Day Case,45.0
Paed Orthopaedic,2022-01-27,2022,Inpatient/Day Case,1142.0
Paediatric Dermatology,2022-01-27,2022,Inpatient/Day Case,68.0
Paediatric ENT,2022-01-27,2022,Inpatient/Day Case,617.0
Paediatric Neurology,2022-01-27,2022,Inpatient/Day Case,33.0
Paediatric Radiology,2022-01-27,2022,Inpatient/Day Case,63.0
Paediatric Respiratory Medicine,2022-01-27,2022,Inpatient/Day Case,1287.0
Paediatric Surgery,2022-01-27,2022,Inpatient/Day Case,521.0
Paediatric Urology,2022-01-27,2022,Inpatient/Day Case,374.0
Paediatrics,2022-01-27,2022,Inpatient/Day Case,152.0
Plastic Surgery,2022-01-27,2022,Inpatient/Day Case,399.0
Rheumatology,2022-01-27,2022,Inpatient/Day Case,62.0
Small Volume Specialties,2022-01-27,2022,Inpatient/Day Case,115.0
Urology,2022-01-27,2022,Inpatient/Day Case,255.0
Anaesthetics,2022-02-24,2022,Inpatient/Day Case,279.0
Breast Surgery,2022-02-24,2022,Inpatient/Day Case,173.0
Cardio-Thoracic Surgery,2022-02-24,2022,Inpatient/Day Case,405.0
Cardiology,2022-02-24,2022,Inpatient/Day Case,3384.0
Clinical Immunology,2022-02-24,2022,Inpatient/Day Case,151.0
Dental Surgery,2022-02-24,2022,Inpatient/Day Case,62.0
Dermatology,2022-02-24,2022,Inpatient/Day Case,1177.0
Endocrinology,2022-02-24,2022,Inpatient/Day Case,55.0
Gastro-Enterology,2022-02-24,2022,Inpatient/Day Case,528.0
Gastro-Intestinal Surgery,2022-02-24,2022,Inpatient/Day Case,507.0
General Medicine,2022-02-24,2022,Inpatient/Day Case,341.0
General Surgery,2022-02-24,2022,Inpatient/Day Case,12896.0
Gynaecology,2022-02-24,2022,Inpatient/Day Case,5668.0
Haematology,2022-02-24,2022,Inpatient/Day Case,33.0
Hepato-Biliary Surgery,2022-02-24,2022,Inpatient/Day Case,81.0
Maxillo-Facial,2022-02-24,2022,Inpatient/Day Case,727.0
Nephrology,2022-02-24,2022,Inpatient/Day Case,54.0
Neurology,2022-02-24,2022,Inpatient/Day Case,347.0
Neurosurgery,2022-02-24,2022,Inpatient/Day Case,560.0
Oncology,2022-02-24,2022,Inpatient/Day Case,60.0
Ophthalmology,2022-02-24,2022,Inpatient/Day Case,7935.0
Oral Surgery,2022-02-24,2022,Inpatient/Day Case,509.0
Orthopaedics,2022-02-24,2022,Inpatient/Day Case,10473.0
Otolaryngology (ENT),2022-02-24,2022,Inpatient/Day Case,3623.0
Pain Relief,2022-02-24,2022,Inpatient/Day Case,4881.0
Plastic Surgery,2022-02-24,2022,Inpatient/Day Case,4625.0
Radiology,2022-02-24,2022,Inpatient/Day Case,44.0
Respiratory Medicine,2022-02-24,2022,Inpatient/Day Case,791.0
Rheumatology,2022-02-24,2022,Inpatient/Day Case,314.0
Small Volume Specialties,2022-02-24,2022,Inpatient/Day Case,20.0
Urology,2022-02-24,2022,Inpatient/Day Case,8197.0
Vascular Surgery,2022-02-24,2022,Inpatient/Day Case,1515.0
Cardio-Thoracic Surgery,2022-02-24,2022,Inpatient/Day Case,78.0
Clinical Immunology,2022-02-24,2022,Inpatient/Day Case,254.0
Dental Surgery,2022-02-24,2022,Inpatient/Day Case,269.0
General Surgery,2022-02-24,2022,Inpatient/Day Case,267.0
Immunology,2022-02-24,2022,Inpatient/Day Case,100.0
Maxillo-Facial,2022-02-24,2022,Inpatient/Day Case,103.0
Ophthalmology,2022-02-24,2022,Inpatient/Day Case,600.0
Oral Surgery,2022-02-24,2022,Inpatient/Day Case,34.0
Orthopaedics,2022-02-24,2022,Inpatient/Day Case,390.0
Otolaryngology (ENT),2022-02-24,2022,Inpatient/Day Case,469.0
Paed Cardiology,2022-02-24,2022,Inpatient/Day Case,220.0
Paed Endocrinology,2022-02-24,2022,Inpatient/Day Case,48.0
Paed Gastro-Enterol,2022-02-24,2022,Inpatient/Day Case,49.0
Paed Orthopaedic,2022-02-24,2022,Inpatient/Day Case,1128.0
Paediatric Dermatology,2022-02-24,2022,Inpatient/Day Case,59.0
Paediatric ENT,2022-02-24,2022,Inpatient/Day Case,546.0
Paediatric Neurology,2022-02-24,2022,Inpatient/Day Case,33.0
Paediatric Neurosurgery,2022-02-24,2022,Inpatient/Day Case,25.0
Paediatric Radiology,2022-02-24,2022,Inpatient/Day Case,73.0
Paediatric Respiratory Medicine,2022-02-24,2022,Inpatient/Day Case,1321.0
Paediatric Surgery,2022-02-24,2022,Inpatient/Day Case,510.0
Paediatric Urology,2022-02-24,2022,Inpatient/Day Case,380.0
Paediatrics,2022-02-24,2022,Inpatient/Day Case,173.0
Plastic Surgery,2022-02-24,2022,Inpatient/Day Case,390.0
Rheumatology,2022-02-24,2022,Inpatient/Day Case,60.0
Small Volume Specialties,2022-02-24,2022,Inpatient/Day Case,82.0
Urology,2022-02-24,2022,Inpatient/Day Case,296.0
Anaesthetics,2022-03-31,2022,Inpatient/Day Case,246.0
Breast Surgery,2022-03-31,2022,Inpatient/Day Case,189.0
Cardio-Thoracic Surgery,2022-03-31,2022,Inpatient/Day Case,367.0
Cardiology,2022-03-31,2022,Inpatient/Day Case,3423.0
Clinical Immunology,2022-03-31,2022,Inpatient/Day Case,153.0
Dental Surgery,2022-03-31,2022,Inpatient/Day Case,63.0
Dermatology,2022-03-31,2022,Inpatient/Day Case,1113.0
Endocrinology,2022-03-31,2022,Inpatient/Day Case,62.0
Gastro-Enterology,2022-03-31,2022,Inpatient/Day Case,543.0
Gastro-Intestinal Surgery,2022-03-31,2022,Inpatient/Day Case,487.0
General Medicine,2022-03-31,2022,Inpatient/Day Case,327.0
General Surgery,2022-03-31,2022,Inpatient/Day Case,13250.0
